task,metric,stage_transition,pdk,value,kind,src_line
Interconnect length (u m),MAE,detailed place to detailed route,ASAP7,1.41,VAL,23
Interconnect length (u m),MAE,CTS to detailed route,NG45,4.19,VAL,23
Interconnect length (u m),MAE,CTS to detailed route,SKY130,12.01,VAL,23
Interconnect length (u m),MAE,CTS to detailed route,IHP130,11.25,VAL,23
Interconnect length (u m),MAE,CTS to detailed route,ASAP7,1.44,VAL,23
Interconnect length (u m),MAE,global route to detailed route,NG45,4.19,VAL,23
Interconnect length (u m),MAE,global route to detailed route,SKY130,11.84,VAL,23
Interconnect length (u m),MAE,global route to detailed route,IHP130,11.17,VAL,23
Interconnect length (u m),MAE,global route to detailed route,ASAP7,1.43,VAL,23
Interconnect length (u m),MAPE,floorplan to detailed route,NG45,,VOID,24
Interconnect length (u m),MAPE,floorplan to detailed route,SKY130,,VOID,24
Interconnect length (u m),MAPE,floorplan to detailed route,IHP130,,VOID,24
Interconnect length (u m),MAPE,floorplan to detailed route,ASAP7,,VOID,24
Interconnect length (u m),MAPE,global place to detailed route,NG45,87.59 %,VAL,24
Interconnect length (u m),MAPE,global place to detailed route,SKY130,94.04 %,VAL,24
Interconnect length (u m),MAPE,global place to detailed route,IHP130,72.60 %,VAL,24
Interconnect length (u m),MAPE,global place to detailed route,ASAP7,113.14 %,VAL,24
Interconnect length (u m),MAPE,detailed place to detailed route,NG45,81.33 %,VAL,24
Interconnect length (u m),MAPE,detailed place to detailed route,SKY130,86.04 %,VAL,24
Interconnect length (u m),MAPE,detailed place to detailed route,IHP130,73.29 %,VAL,24
Interconnect length (u m),MAPE,detailed place to detailed route,ASAP7,125.55 %,VAL,24
Interconnect length (u m),MAPE,CTS to detailed route,NG45,78.68 %,VAL,24
Interconnect length (u m),MAPE,CTS to detailed route,SKY130,72.85 %,VAL,24
Interconnect length (u m),MAPE,CTS to detailed route,IHP130,71.34 %,VAL,24
Interconnect length (u m),MAPE,CTS to detailed route,ASAP7,123.19 %,VAL,24
Interconnect length (u m),MAPE,global route to detailed route,NG45,78.20 %,VAL,24
Interconnect length (u m),MAPE,global route to detailed route,SKY130,69.82 %,VAL,24
Interconnect length (u m),MAPE,global route to detailed route,IHP130,70.16 %,VAL,24
Interconnect length (u m),MAPE,global route to detailed route,ASAP7,122.69 %,VAL,24
Interconnect length (u m),R^2,floorplan to detailed route,NG45,,VOID,25
Interconnect length (u m),R^2,floorplan to detailed route,SKY130,,VOID,25
Interconnect length (u m),R^2,floorplan to detailed route,IHP130,,VOID,25
Interconnect length (u m),R^2,floorplan to detailed route,ASAP7,,VOID,25
Interconnect length (u m),R^2,global place to detailed route,NG45,0.735,VAL,25
Interconnect length (u m),R^2,global place to detailed route,SKY130,0.751,VAL,25
Interconnect length (u m),R^2,global place to detailed route,IHP130,0.89,VAL,25
Interconnect length (u m),R^2,global place to detailed route,ASAP7,0.886,VAL,25
Interconnect length (u m),R^2,detailed place to detailed route,NG45,0.77,VAL,25
Interconnect length (u m),R^2,detailed place to detailed route,SKY130,0.773,VAL,25
Interconnect length (u m),R^2,detailed place to detailed route,IHP130,0.916,VAL,25
Interconnect length (u m),R^2,detailed place to detailed route,ASAP7,0.892,VAL,25
Interconnect length (u m),R^2,CTS to detailed route,NG45,0.777,VAL,25
Interconnect length (u m),R^2,CTS to detailed route,SKY130,0.791,VAL,25
Interconnect length (u m),R^2,CTS to detailed route,IHP130,0.915,VAL,25
Interconnect length (u m),R^2,CTS to detailed route,ASAP7,0.893,VAL,25
Interconnect length (u m),R^2,global route to detailed route,NG45,0.779,VAL,25
Interconnect length (u m),R^2,global route to detailed route,SKY130,0.798,VAL,25
Interconnect length (u m),R^2,global route to detailed route,IHP130,0.918,VAL,25
Interconnect length (u m),R^2,global route to detailed route,ASAP7,0.895,VAL,25
Interconnect length (u m),MAE P95,floorplan to detailed route,NG45,,VOID,26
Interconnect length (u m),MAE P95,floorplan to detailed route,SKY130,,VOID,26
Interconnect length (u m),MAE P95,floorplan to detailed route,IHP130,,VOID,26
Interconnect length (u m),MAE P95,floorplan to detailed route,ASAP7,,VOID,26
Interconnect length (u m),MAE P95,global place to detailed route,NG45,12.72,VAL,26
Interconnect length (u m),MAE P95,global place to detailed route,SKY130,38.53,VAL,26
Interconnect length (u m),MAE P95,global place to detailed route,IHP130,53.88,VAL,26
Interconnect length (u m),MAE P95,global place to detailed route,ASAP7,5.57,VAL,26
Interconnect length (u m),MAE P95,detailed place to detailed route,NG45,10.32,VAL,26
Interconnect length (u m),MAE P95,detailed place to detailed route,SKY130,39.23,VAL,26
Interconnect length (u m),MAE P95,detailed place to detailed route,IHP130,46.46,VAL,26
Interconnect length (u m),MAE P95,detailed place to detailed route,ASAP7,5.44,VAL,26
Interconnect length (u m),MAE P95,CTS to detailed route,NG45,10.82,VAL,26
Interconnect length (u m),MAE P95,CTS to detailed route,SKY130,41.92,VAL,26
Interconnect length (u m),MAE P95,CTS to detailed route,IHP130,46.28,VAL,26
Interconnect length (u m),MAE P95,CTS to detailed route,ASAP7,5.85,VAL,26
Interconnect length (u m),MAE P95,global route to detailed route,NG45,10.79,VAL,26
Interconnect length (u m),MAE P95,global route to detailed route,SKY130,41.09,VAL,26
Interconnect length (u m),MAE P95,global route to detailed route,IHP130,46.08,VAL,26
Interconnect length (u m),MAE P95,global route to detailed route,ASAP7,5.83,VAL,26
Interconnect length (u m),MAPE P95,floorplan to detailed route,NG45,,VOID,27
Interconnect length (u m),MAPE P95,floorplan to detailed route,SKY130,,VOID,27
Interconnect length (u m),MAPE P95,floorplan to detailed route,IHP130,,VOID,27
Interconnect length (u m),MAPE P95,floorplan to detailed route,ASAP7,,VOID,27
Interconnect length (u m),MAPE P95,global place to detailed route,NG45,230.82 %,VAL,27
Interconnect length (u m),MAPE P95,global place to detailed route,SKY130,293.66 %,VAL,27
Interconnect length (u m),MAPE P95,global place to detailed route,IHP130,339.20 %,VAL,27
Interconnect length (u m),MAPE P95,global place to detailed route,ASAP7,410.10 %,VAL,27
Interconnect length (u m),MAPE P95,detailed place to detailed route,NG45,186.85 %,VAL,27
Interconnect length (u m),MAPE P95,detailed place to detailed route,SKY130,247.83 %,VAL,27
Interconnect length (u m),MAPE P95,detailed place to detailed route,IHP130,326.04 %,VAL,27
Interconnect length (u m),MAPE P95,detailed place to detailed route,ASAP7,403.03 %,VAL,27
Interconnect length (u m),MAPE P95,CTS to detailed route,NG45,181.48 %,VAL,27
Interconnect length (u m),MAPE P95,CTS to detailed route,SKY130,238.43 %,VAL,27
Interconnect length (u m),MAPE P95,CTS to detailed route,IHP130,291.33 %,VAL,27
Interconnect length (u m),MAPE P95,CTS to detailed route,ASAP7,402.78 %,VAL,27
Interconnect length (u m),MAPE P95,global route to detailed route,NG45,180.77 %,VAL,27
Interconnect length (u m),MAPE P95,global route to detailed route,SKY130,234.56 %,VAL,27
Interconnect length (u m),MAPE P95,global route to detailed route,IHP130,291.33 %,VAL,27
Interconnect length (u m),MAPE P95,global route to detailed route,ASAP7,402.78 %,VAL,27
Interconnect length (u m),MAE TOP5,floorplan to detailed route,NG45,,VOID,28
Interconnect length (u m),MAE TOP5,floorplan to detailed route,SKY130,,VOID,28
Interconnect length (u m),MAE TOP5,floorplan to detailed route,IHP130,,VOID,28
Interconnect length (u m),MAE TOP5,floorplan to detailed route,ASAP7,,VOID,28
Interconnect length (u m),MAE TOP5,global place to detailed route,NG45,44.73,VAL,28
Interconnect length (u m),MAE TOP5,global place to detailed route,SKY130,116.02,VAL,28
Interconnect length (u m),MAE TOP5,global place to detailed route,IHP130,86.57,VAL,28
Interconnect length (u m),MAE TOP5,global place to detailed route,ASAP7,11.67,VAL,28
Interconnect length (u m),MAE TOP5,detailed place to detailed route,NG45,46.91,VAL,28
Interconnect length (u m),MAE TOP5,detailed place to detailed route,SKY130,117.87,VAL,28
Interconnect length (u m),MAE TOP5,detailed place to detailed route,IHP130,79.59,VAL,28
Interconnect length (u m),MAE TOP5,detailed place to detailed route,ASAP7,11.37,VAL,28
Interconnect length (u m),MAE TOP5,CTS to detailed route,NG45,47.4,VAL,28
Interconnect length (u m),MAE TOP5,CTS to detailed route,SKY130,121.41,VAL,28
Interconnect length (u m),MAE TOP5,CTS to detailed route,IHP130,80.45,VAL,28
Interconnect length (u m),MAE TOP5,CTS to detailed route,ASAP7,11.65,VAL,28
Interconnect length (u m),MAE TOP5,global route to detailed route,NG45,47.61,VAL,28
Interconnect length (u m),MAE TOP5,global route to detailed route,SKY130,121.04,VAL,28
Interconnect length (u m),MAE TOP5,global route to detailed route,IHP130,80.05,VAL,28
Interconnect length (u m),MAE TOP5,global route to detailed route,ASAP7,11.61,VAL,28
Interconnect length (u m),MAPE TOP5,floorplan to detailed route,NG45,Estimated wirelength is not available\\ as cells have not been placed yet,VOID,29
